,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score,original_price,predicted_price
3280,PW_DB9124,-0.497784329549333,0.2251835734596769,0,1.3333333333333333,0,Bobcat 6731421 low profile bucket,1,Deutz M1101 four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,34.238862099291076,9700.0,9436.693
3617,rbauction_11026919,-0.16742067226840174,0.19737230039444265,0,-0.6666666666666666,0,bkt,1,,,,51.397542315150794,15000.002,13378.443
896,rbauction_10751651,-0.33652920114355295,0.5862543581943603,0,0.3333333333333333,0,bkt,1,,,,24.373727150341164,12000.001,10844.717
4583,rbauction_11153677,-0.14257102428612622,0.14490899152970188,0,-0.6666666666666666,0,,0,,,,37.97482109591232,15499.992,14297.713
5761,rbauction_10190760,0.24942994385630435,-1.5044156020067514,0,-0.6666666666666666,0,bkt,1,,,,32.58334890420339,25999.994,28972.246
2783,PW_K3374,-0.5715789856429714,0.40942988989747214,0,0.0,0,"77""W low profile bucket",1,New Holland four cylinder turbo diesel engine,Solideal Gripper 12-16.5 tires,,34.555717855232345,8800.001,7966.4487
1376,rbauction_10239549,-0.1931128399187525,-1.4196735952363009,0,-0.6666666666666666,0,bkt,1,,,,27.410389987533804,14499.993,14413.797
4539,rbauction_10846536,0.38272804578826136,-1.4599379756195816,0,-1.0,0,bkt,1,,,,44.950271558601294,31000.0,28741.686
1446,rbauction_10711373,-0.0505981401487734,0.7331960606844907,0,-0.6666666666666666,0,,0,,,,21.84214531808487,17499.992,17911.027
5679,ironplanet_1862498,-0.5135733665429933,-6.12407095646866,0,-0.6666666666666666,0,"66"" General Purpose Smooth Edge Bucket",1,,Cushion Tires,,48.3893628069571,9500.0,13503.974
4503,rbauction_11005598,-0.5545480135607281,0.0,1,0.3333333333333333,0,bkt,1,,aperture tires,,22.353580565208894,9000.005,8853.673
477,bigiron_DG3405,-0.8248528227334281,0.9264533841449444,0,1.6666666666666667,0,"60"" Bucket",1,49 Horse Power Kubota Diesel Engine,10-16.5 Tires,Hydrostat Transmission,24.47879705510353,6299.9966,5478.3203
3114,PW_DI9926,-0.5802401812110789,0.41969288042028985,0,0.3333333333333333,0,,0,"Engine issues, Four cylinder diesel engine",14-17.5 solid tires,Hydrostatic transmission,41.42526072678306,8700.0,7921.032
1617,rbauction_10126979,-0.02924894348634055,0.09872200581797166,0,0.0,0,hyd Q/C bkt,1,,,,33.912327794589096,18000.002,18496.354
337,rbauction_10447473,-0.11851038872637608,0.6984221380589708,0,-0.3333333333333333,0,bkt,1,,,,36.7120841995134,16000.009,16615.32
1895,rbauction_10118628,-0.16742067226840174,0.7463070891410984,0,0.0,0,bkt,1,,,,24.82271865271911,15000.002,15084.784
320,rbauction_10235988,-0.21970666902392466,1.3040126341644065,0,0.3333333333333333,0,bkt,1,,,,51.53709440842561,14000.007,10809.538
2129,PW_5000,-0.36878285015768775,-0.044723406018569264,0,-0.6666666666666666,0,"73"" toothed bucket",1,Caterpillar 3044C DIT turbocharged diesel engine,,,44.662605113462845,11500.001,12360.618
