,unique_id,make,model,winning_bid,hours_final,age_at_sale,score,bucket,engine,tires,transmission,month_sold
1678,rbauction_10613456,CATERPILLAR,246B,13500,3230.0,12.0,56.27624991286649,bkt,,aperture tires,,Jun
1679,rbauction_10412694,CATERPILLAR,262D 2 SPD,37000,173.0,3.0,38.86942033720591,bkt,,,,Feb
1680,rbauction_10438768,CATERPILLAR,242B3,15000,2790.0,6.0,49.293897267498004,bkt,,,,Feb
1681,rbauction_10320903,BOBCAT,S150,15000,2178.0,3.0,23.419526093687054,bkt,,,,Dec
1682,rbauction_10480363,CATERPILLAR,236B3,22000,3967.0,3.0,43.6504545121049,bkt,,,,Mar
1683,rbauction_11012479,CASE,430,12000,3692.0,12.0,37.459744460945416,bkt,,,,Dec
1684,rbauction_10222082,BOBCAT,S770 2 SPD,20500,2027.0,6.0,30.03090974771009,hyd Q/C bkt,,,,Oct
1685,rbauction_11332815,BOBCAT,S510,18500,785.0,3.0,17.71648681289454,bkt,,solid tires,,Jun
1686,rbauction_11306020,CATERPILLAR,242B3 2 SPD,22000,1478.0,6.0,38.16038694498075,bkt,,,,Jun
1687,rbauction_11002549,BOBCAT,773,9500,2910.0,15.0,43.42936380835381,bkt,,solid tires,,Dec
1688,rbauction_10491199,CASE,75XT,14000,1506.0,18.0,34.17570258087207,bkt,,,,Mar
1689,rbauction_10827639,TAKEUCHI,TS50V 2 SPD,17000,1033.0,3.0,46.88361090986051,bkt,,,,Sep
1690,rbauction_11133597,DEERE,318E,22000,301.0,3.0,28.271085508715693,bkt,,,,Mar
1691,bigiron_DI2500,BOBCAT,773,11000,2252.0,,15.018334744824047,"Comes With 67"" General Purpose Bucket",4 Cylinder Kubota Diesel Engine Model V2203-E,10-16.5 NHS Tires,Hydrostat Transmission,Jul
1692,rbauction_10947212,CATERPILLAR,248B HIGH FLOW,13000,5232.0,12.0,24.105155148698078,bkt,,,,Nov
1693,bigiron_DF8598,GEHL,5625,5000,6972.0,36.0,36.2690980088069,"69"" Wide Material Bucket","56 HP, Perkins 4 Cylinder Diesel Engine",12-16.5 Tires,Hydrostatic Transmission,Nov
1694,rbauction_11105663,CASE,465,20000,1208.0,12.0,43.02659669951176,bkt,,,,Mar
1695,rbauction_10096697,CASE,SR250,29000,1200.0,3.0,31.18028046155392,hyd Q/C bkt,,,,Sep
1696,rbauction_10728284,BOBCAT,853,15500,91.0,24.0,26.03787548882256,bkt,,,,Aug
1697,rbauction_11129641,BOBCAT,S630,17500,914.0,6.0,44.928998209136324,bkt,,,,Mar
1698,rbauction_10050373,BOBCAT,863 HIGH FLOW,9500,5327.0,15.0,19.69310521590441,bkt,,,,Jul
1699,rbauction_10613768,BOBCAT,S650 2 SPD,24000,951.0,3.0,27.600113544042358,,,,,May
1700,rbauction_10352071,BOBCAT,S150,12000,4059.0,12.0,24.18904437829295,bkt,,,,Dec
1701,rbauction_10086199,BOBCAT,S750,31000,206.0,3.0,24.50695392901575,bkt,,,,Jul
1702,rbauction_10432654,CATERPILLAR,232D,20000,712.0,3.0,35.797679757154604,bkt,,,,Feb
1703,rbauction_10541144,BOBCAT,S300 2 SPD,20000,2595.0,6.0,38.647789696853756,bkt,,solid tires,,May
1704,rbauction_10515594,CASE,430,14500,4710.0,12.0,33.06220166196064,bkt,,,,Apr
1705,rbauction_10525631,DEERE,332D 2 SPD,31000,3626.0,6.0,33.94302355641903,bkt,,,,Apr
1706,rbauction_11345281,HYDRA-MAC,1700,6500,915.0,,28.58287146080325,bkt,,,,Jun
1707,rbauction_10275221,BOBCAT,S650,15000,2374.0,3.0,18.56941641556556,bkt,,,,Nov
1708,rbauction_10546141,DEERE,320E 2 SPD,36000,727.0,3.0,30.82198242639825,bkt,,aperture tires,,Apr
1709,rbauction_10344428,BOBCAT,S570 2 SPD HIGH FLOW,26000,1218.0,3.0,27.392374343724235,,,,,Dec
1710,rbauction_10320906,BOBCAT,S70,11500,1383.0,3.0,39.27794475720183,,,,,Dec
1711,rbauction_10434121,CASE,1845C,8500,6959.0,21.0,29.23433468428721,bkt,,,,Oct
1712,rbauction_10598405,BOBCAT,S590 2 SPD HIGH FLOW,18000,3167.0,3.0,17.523457619359775,bkt,,,,May
1713,rbauction_10441794,CASE,1840,8000,2357.0,18.0,39.00473547912796,bkt,,,,Mar
1714,rbauction_10447702,CATERPILLAR,262B,12500,5293.0,9.0,25.33134233177168,bkt,,,,Dec
1715,rbauction_10749128,BOBCAT,S650 T4 2 SPD,27000,522.0,3.0,31.319114939815268,,,,,Aug
1716,rbauction_10872894,BOBCAT,S205,17000,5500.0,9.0,31.918786409448515,bkt,,,,Oct
1717,rbauction_11016271,BOBCAT,773 2 SPD HIGH FLOW,10000,3412.0,18.0,34.87049367320293,bkt,,aperture tires,,Dec
1718,rbauction_11113530,CASE,SV250,22500,2009.0,6.0,43.74418814519518,hyd Q/C bkt,,,,Mar
1719,rbauction_10439978,BOBCAT,S750,19000,1715.0,3.0,18.73692778522133,bkt,,solid tires,,Feb
1720,rbauction_10679908,GEHL,5640E,12000,2249.0,12.0,38.64686956316641,bkt,,,,Aug
1721,rbauction_11045275,CATERPILLAR,262D,34000,1285.0,3.0,38.655565393206615,bkt,,,,Feb
1722,rbauction_10631278,VOLVO,MC90B,13000,1459.0,9.0,29.89042158218095,bkt,,foam filled tires,,Jun
1723,rbauction_10793124,MUSTANG,2032,9500,1434.0,12.0,27.605730296238807,bkt,,,,Aug
1724,bigiron_AF1282,BOBCAT,T750,37000,546.0,3.0,35.793197350822595,"80"" Bucket, Hydraulic Bucket Positioning","Engine Block Heater, Kubota Engine",,,Jul
1725,rbauction_10157937,BOBCAT,S750 HIGH FLOW,22000,1701.0,6.0,25.378388072849173,,,,,Aug
1726,rbauction_10086951,MUSTANG,2044,6000,,12.0,39.35395213762828,bkt,,,,Jun
1727,rbauction_10814547,BOBCAT,S650,23500,496.0,3.0,22.131105025451607,bkt,,solid tires,,Sep
1728,rbauction_10474068,BOBCAT,743,5250,,,12.678733212110345,bkt,,,,Jun
1729,rbauction_10533373,BOBCAT,S590 2 SPD,24500,3303.0,3.0,25.613148778873324,bkt,,,,Apr
1730,rbauction_11322715,BOBCAT,S300,14500,4119.0,9.0,23.31816293265824,,,,,Jun
1731,rbauction_11133008,NEW HOLLAND,LS185B,8000,2128.0,12.0,35.42252059836998,bkt,,,,Mar
