,unique_id,make,model,hours_final_nan,winning_bid,age_at_sale_nan,hours_final,age_at_sale,score,bucket,engine,tires,transmission,month_sold,engine_sentiment,bucket_sentiment,tires_sentiment,transmission_sentiment
3386,PW_EM9137,CASE,1845C,1,-1.8943534010468515,0,0.27101882444419034,3.9620954901735894,0.9767455453872455,"81""W bucket, Hand bucket control","56 HP, Case 4-390 four cylinder diesel engine",12-16.5 tires,Hydrostatic transmission,Apr,0.0,0.0,0.0,0.0
3387,PW_DF7191,CASE,430,0,-0.157374989885476,0,-0.10887823213460683,0.5024146734879694,0.9641875842115013,"72""W bucket, Hand bucket controls",Four cylinder diesel engine,12-16.5 foam-filled re-capped tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3388,PW_DC4652,MUSTANG,2070,0,-0.7831642609141499,0,0.15232598949258927,1.9851350234960923,0.7011547632616928,"74""W bucket, Foot bucket controls",Isuzu four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3389,PW_DG5774,CASE,40XT,0,-1.3298436960717142,0,0.6940698924712233,0.9966547901573437,0.34276875409467217,"Bucket bent, Case B10916 70""W bucket, Hand bucket controls","60 HP, Case four cylinder diesel engine",Carlisle 12-16.5 NHS tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3390,PW_DF1059,CASE,440,0,0.3993519492256633,0,0.10666470773752759,0.5024146734879694,-0.4299534249919801,"Case low profile bucket, Hand bucket controls",Four cylinder diesel engine,Titan 12-16.5 NHS tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3391,PW_DF1058,CASE,440,0,0.6002898532619867,0,0.15625544608246186,0.5024146734879694,0.45862534501439434,"Case bucket, Hand bucket controls",Four cylinder diesel engine,Air Boss 12/16.5 SRA/124 NHS solid tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3392,PW_DF1057,CASE,440,0,0.25427948685170004,0,0.19454142843895442,0.5024146734879694,-0.3701018215946966,Hand bucket controls,Four cylinder diesel engine,Air Boss 12/16.5 SRA/124 NHS solid tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3393,PW_DB9717,BOBCAT,S185,0,-0.7591277650934096,0,0.9541791261131012,0.5024146734879694,-0.2796437616451651,"67""W bucket, Joystick bucket controls",Four cylinder diesel engine,Solid tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3394,PW_FM9292,CASE,1845C,0,-0.7831642609141499,0,0.6097384002482817,2.4793751401654665,-0.7833112157355762,"72""W bucket, Hand bucket controls",Case four cylinder diesel engine,"additional 12-16.5 tires, 33 x 12-20 solid tires",Hydrostatic transmission,May,0.0,0.0,0.0,0.0
3395,PW_FM9293,CASE,1845C,0,-0.8074693264912103,0,0.6171652861685708,2.4793751401654665,0.48304759260509184,"72""W bucket, Hand bucket controls",Case four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,May,0.0,0.0,0.0,0.0
